id	address	about	review_name	review_stars	review_count	property_amenities	room_features	room_types	good_to_know
10	15 Gray St, Adelaide, South Australia 5000 Australia					Children Activities (Kid / Family Friendly)			
11	Via Monte Velo 11, 38060, Ronzo-Chienis Italy	Finding an ideal budget friendly small hotel in Ronzo-Chienis does not have to be difficult. Welcome to Hotel Santa Barbara, a nice option for travelers like you. Rooms at Hotel Santa Barbara provide air conditioning and a desk, and guests can stay connected with free wifi. In addition, while staying at Hotel Santa Barbara guests have access to a convenience store, beach chairs, and a gift shop. You can also enjoy a lounge. Need a place to park? Free parking is available at Hotel Santa Barbara. While you’re here, be sure to check out some of the Italian restaurants, including Antica Gardumo Ristorante and La Baita, all of which are a short distance from Hotel Santa Barbara. Hotel Santa Barbara puts the best of Ronzo-Chienis at your fingertips, making your stay both relaxing and enjoyable.	Very good	3.5	12 reviews	Free parking Free High Speed Internet (WiFi) Bar / lounge Hiking Skiing Children Activities (Kid / Family Friendly) Highchairs available Salon Restaurant Snack bar Convenience store Gift shop Newspaper Non-smoking hotel Shared lounge / TV area Shops Sun loungers / beach chairs Sun terrace	Air conditioning Desk Housekeeping Safe Bath / shower Complimentary toiletries Hair dryer	Family rooms	HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Romantic Family Languages Spoken English, Russian, Italian, Polish
12	Pullikkanam - Elappara Road Pullikanam po, Vagamon 685503 India								
13	30C Jalan PBI Taman Padang Balang, Batu Berendam 75350 Malaysia								
14	Calle 12 de Octubre, 1426 Coquimbito, Mendoza 5513 Argentina					Free public parking nearby Free High Speed Internet (WiFi) Bar / lounge Bicycle rental Bicycle tours Children's television networks Business Center with Internet Access BBQ facilities Parking garage Snack bar Wine / champagne Vending machine Walking tours Baggage storage Convenience store Non-smoking hotel Outdoor furniture Picnic area Shared kitchen Shared lounge / TV area Sun loungers / beach chairs Sun umbrellas Private check-in / check-out Laundry service	Air conditioning Housekeeping Iron	Bridal suite Family rooms	
15	S. Skapo g. 8, Vilnius 01122 Lithuania	I had an issue with bathroom boiler. Apparently, if you want to take a bath, you must put on hot water first and wait until it finishes (about half way full). After hot water is finished, you'll only get cold water in the bathroom, but if you mix it with hot, you'll get a full bath of warm water :) This is amazing place location wise and all things consider it's not expensive. For the same price you'll get much smaller room in any hotel.	Excellent	4.5	114 reviews	Free High Speed Internet (WiFi) Wifi Non-smoking hotel	Soundproof rooms Interconnected rooms available Seating area Iron Kitchenette Refrigerator Complimentary toiletries Hair dryer Kitchenware	Non-smoking rooms Suites	HOTEL STYLE Romantic Centrally Located Languages Spoken English, Russian, Lithuanian, Polish Property amenities Free High Speed Internet (WiFi) Wifi Non-smoking hotel Room features Soundproof rooms Interconnected rooms available Seating area Iron Kitchenette Refrigerator Complimentary toiletries Hair dryer Kitchenware Show more Room types Non-smoking rooms Suites
16	36 RT1 station de karembe, Koumac, Grand Terre 98850 New Caledonia	Chez Pascal et Claudia is located 9 km from Kaala-Gomen and 10 km away from Koumac. Both free WiFi and private parking are accessible at the bed and breakfast.							
17	1 Rue Emile Fassin, 13200, Arles France	L'Hôtel Atrium*** se situe au centre ville d'Arles. Construit en 1987 autour d’une authentique maison arlésienne du 19ème siècle, l'hôtel a été entièrement rénové et vous propose aujourd'hui confort, modernité, esthétique et technologie. Les parties communes, ainsi que les chambres, disposent d’un accès Internet WIFI gratuit et illimité pour les clients de l’hôtel et du restaurant. Les 90 chambres de l’hôtel se répartissent sur 4 étages et peuvent accueillir de 1 à 4 personnes. Le restaurant de l’hôtel, sous ses vastes verrières, vous plonge sous le soleil de Provence et dans la cuisine aux accents du sud de notre chef. Le Bar Piano Lounge vous invite au divertissement avec la télévision à écran plat, les livres à votre disposition et le billard en libre accès. Pour vous détendre, la piscine avec vue imprenable sur Arles et sa terrasse. L’hôtel dispose également de 5 salles de séminaires, qui accueillent de 5 à 180 personnes et bénéficie d'un parking privé.	Very good	3.5	896 reviews	Electric vehicle charging station Free High Speed Internet (WiFi) Pool Bar / lounge Billiards Pets Allowed ( Dog / Pet Friendly ) Conference facilities Banquet room Free public parking nearby Paid private parking on-site Parking garage Wifi Rooftop pool Pool with view Restaurant Breakfast available Breakfast buffet Breakfast in the room Complimentary Instant Coffee Complimentary tea Vending machine Meeting rooms Photo copier / fax In business center Rooftop terrace Baggage storage Newspaper Non-smoking hotel Outdoor furniture Shared lounge / TV area Sun loungers / beach chairs Sun terrace 24-hour check-in 24-hour front desk Express check-in / check-out Dry cleaning Laundry service Shoeshine	Blackout curtains Soundproof rooms Air conditioning Desk Housekeeping Electric kettle Cable / satellite TV Bath / shower Safe Telephone Wardrobe / closet Bottled water Clothes rack Wake-up service / alarm clock Flatscreen TV Radio Complimentary toiletries Hair dryer	City view Landmark view Non-smoking rooms Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE City View Modern Languages Spoken English, French, Spanish, Italian
18	Buchmaisweg 14, Radstadt 5550 Austria	Das Haus ist sehr schön und liegt in traumhafter, ruhiger Panoramalage. Unsere Wohnung war gemütlich und geräumig, sehr sauber und perfekt ausgestattet, mit sehr bequemen Betten und Du/WC in jedem Zimmer! Wir hatten Frühstücksbuffet dazu gebucht, welches sehr reichlich und mit Liebe vorbereitet war. Eine schöne Sauna ist auch vorhanden, mit gemütlichem Ruheraum. Und nicht zuletzt, Frau Sieglinde und die ganze Besitzerfamilie sind sehr freundlich und zuvorkommend! Danke, die Urlaubswoche im Unterhagmooshof war einfach traumhaft!!	Excellent	5.0	1 review	Free parking Free High Speed Internet (WiFi) Sauna Hiking Skiing BBQ facilities Baggage storage Non-smoking hotel		Family rooms	HOTEL STYLE Family Languages Spoken English, German Property amenities Free parking Free High Speed Internet (WiFi) Sauna Hiking Skiing BBQ facilities Baggage storage Non-smoking hotel Room types Family rooms
19	807 Grove St, Baldwin City, KS 66006-9204								
20	Cotran Sur 1/2c Al Norte, Esteli 00011 Nicaragua	Looking for a place to stay in Esteli? Then look no further than Apart Hotel Acuarious de Luis, a family-friendly small hotel that brings the best of Esteli to your doorstep. Rooms at Apart Hotel Acuarious de Luis provide air conditioning, and guests can stay connected with free wifi. In addition, while staying at Apart Hotel Acuarious de Luis guests have access to a 24 hour front desk, room service, and outdoor furniture. You can also enjoy a pool and a lounge. Need a place to park? Free parking is available at Apart Hotel Acuarious de Luis. During your visit, be sure to check out a popular Esteli falafel restaurant such as Restaurante Jerusalem Kebab Grill, which is a short distance from Apart Hotel Acuarious de Luis. We’re sure you’ll enjoy your stay at Apart Hotel Acuarious de Luis as you experience everything Esteli has to offer.	Very good	4.0	11 reviews	Free parking Free High Speed Internet (WiFi) Pool Bar / lounge Game room Table tennis Children Activities (Kid / Family Friendly) Kids pool Secured parking Pool / beach towels Outdoor pool Coffee shop Restaurant Kids' meals Wine / champagne Kids' outdoor play equipment Airport transportation Shuttle bus service Meeting rooms Foot massage Full body massage Manicure Massage Neck massage Pedicure Salon Baggage storage Non-smoking hotel Outdoor furniture Sun loungers / beach chairs Sun umbrellas 24-hour front desk Private check-in / check-out	Air conditioning Housekeeping Room service Bottled water	Bridal suite	HOTEL STYLE Trendy Hidden Gem Languages Spoken English, Spanish
21	1975 Sokak 10/3 Bülent Ecevit Bulvarı , Fener Mahallesi, Muratpasa, Antalya 07160 Türkiye	Antalya'nın kalbi Lara fenerde aileniz ve sevdikleriniz ile birlikte güzel vakit geçirebileceğiniz sizi kendi evinizde hissettiricek günlük,haftalık ve aylık konaklama seçenekleri ile konforlu konaklama'nın keyfini Fener Konaklama ile çıkarın				Free parking Free High Speed Internet (WiFi) Children's television networks Taxi service 24-hour security Non-smoking hotel 24-hour check-in 24-hour front desk Street parking Wifi Shared bathroom Shared kitchen Express check-in / check-out Private check-in / check-out Washing machine	Allergy-free room Blackout curtains Air conditioning Private balcony Coffee / tea maker On-demand movies Sofa bed Bath / shower Air purifier Safe Seating area Separate living room Wardrobe / closet Clothes rack Iron Dishwasher Microwave Oven Refrigerator Electric kettle Kitchenware Radio Complimentary toiletries Hair dryer	City view Family rooms	HOTEL CLASS 3.5 of 5 stars Languages Spoken Turkish
22	285 Virginia Ave, Fort Myers Beach, FL 33931-2851	The Anchor Inn is a group of vintage cottages on the scenic back of Fort Myers Beach. We offer 1, 2 or 3 bedrooms with a living room and a fully equipped kitchen. We have something for everyone whether you want to walk down to the beach, restaurants, bars and shops or stay on the site to play in the pool , relax in the hot tub or enjoy the beautiful views and wildlife from our boat docks.	Very good	3.5	15 reviews	Free parking Wifi Hot tub Outdoor pool Pets Allowed ( Dog / Pet Friendly ) Self-serve laundry	Air conditioning Dining area Wardrobe / closet Tile / marble floor Coffee / tea maker Kitchenette Flatscreen TV Walk-in shower Microwave Oven Refrigerator Stovetop Kitchenware	Family rooms	HOTEL STYLE Quaint Romantic Languages Spoken English
23	NB Road Near SBI Bazar Branch, Tezpur 784001 India								
24	Rue La-Haut, Lasne 1380 Belgium								
25	93 avenue de la Pointe du Cap Coz Cap-Coz, 29170, Fouesnant France	See why so many travelers make Pierre &amp; Vacances Residence Cap Azur their hotel of choice when visiting Fouesnant. Providing an ideal mix of value, comfort and convenience, it offers a charming setting with an array of amenities designed for travelers like you. The rooms offer a flat screen TV, a refrigerator, and a kitchenette, and getting online is possible, as free internet access is available, allowing you to rest and refresh with ease. In addition, as a valued Pierre &amp; Vacances Residence Cap Azur guest, you can enjoy a pool that is available on-site. Guests arriving by vehicle have access to free parking. When you’re feeling hungry, be sure to check out La Bella Italia, Chez Alain, and La Tour de Pizz, which are some Italian restaurants that are popular with locals and out-of-towners alike. We’re sure you’ll enjoy your stay at Pierre &amp; Vacances Residence Cap Azur as you experience all of the things Fouesnant has to offer.	Very good	4.0	371 reviews	Free parking Wifi Pool Beach Golf course Pets Allowed ( Dog / Pet Friendly ) Airport transportation Non-smoking hotel Outdoor pool Self-serve laundry	Private balcony Seating area Sofa Coffee / tea maker Kitchenette Dishwasher Microwave Flatscreen TV Refrigerator Kitchenware	Ocean view Non-smoking rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Quiet Mid-range Languages Spoken English, French
26	121 Moo 1, Tambon Pho Yai District, Muang, NakornSrithamarat, Chiang Mai 80000 Thailand								
27	48 Miline Ulica, Rogoznica 22203 Croatia	Located within 500 metres of Šepurine Beach and 600 metres of Crljina Beach, Goles apartments-First row to the sea provides rooms with air conditioning and a private bathroom in Rogoznica.							
28	Virungwe Road, Cyangugu Rwanda					Bar / lounge Restaurant Laundry service			
29	Urb. Pinheiros de Marim Rua Cidade de Paris 5, Olhao 8700-278 Portugal								
30	Street 9 Elgawhara Dvision, Hurghada 84511 Egypt	Discover a beautiful getaway in this self-catering holiday rental just moments away from the enchanting El Gouna. Immerse yourself in modern, living spaces set against a backdrop of vibrant community vibes. With top-tier amenities, a prime location, and a focus on security, to ensure a save environment. This property promises a haven of relaxation and enjoyment. Seamless access to taxi services and 24 hour Concierge so that you can explore the beauty of Hurghada with utmost ease, making it an irresistible choice for an unforgettable holiday.							
31	Aicherstrasse 7-9, 89191 Nellingen, Baden-Württemberg Germany	Like others, we had an overnight stop at Hotel Krone on our transit to Slovenia and Croatia. We booked a room in the main guest house. Our room was huge and tastefully furnished. Our only regret was the restaurant. The posted menu looks mouth-watering, but on the day our stay the kitchen was out of action as the chef was off sick and other staff were away on vacation. A shame as one of the criteria for booking had been the restaurant menu. The breakfast was OK - though not brilliant. There was a simple self-service buffet with a small selection of cured meats and cheeses to choose from. Definitely something that the hotel owners should consider improving. Would we return or recommend to others? Definitely YES.	Very good	4.0	64 reviews	Free parking Free High Speed Internet (WiFi) Bar / lounge Board games / puzzles Children Activities (Kid / Family Friendly) Pets Allowed ( Dog / Pet Friendly ) Car hire Conference facilities Secured parking Wifi Restaurant Breakfast available Breakfast buffet Kids' meals Special diet menus Wine / champagne Vending machine Meeting rooms Baggage storage Newspaper Non-smoking hotel Sun terrace Laundry service Ironing service Shoeshine	Allergy-free room Room service Bottled water	Non-smoking rooms Family rooms	HOTEL STYLE Business Romantic Languages Spoken English, German Property amenities Free parking Free High Speed Internet (WiFi) Bar / lounge Board games / puzzles Children Activities (Kid / Family Friendly) Pets Allowed ( Dog / Pet Friendly ) Car hire Conference facilities Secured parking Wifi Restaurant Breakfast available Breakfast buffet Kids' meals Special diet menus Wine / champagne Vending machine Meeting rooms Baggage storage Newspaper Non-smoking hotel Sun terrace Laundry service Ironing service Shoeshine Show more Room features Allergy-free room Room service Bottled water Room types Non-smoking rooms Family rooms
32	Av. Tamandare, Nº 241 Zona 1, Maringa, State of Parana 87013-210 Brazil	Welcome to Hotel Astoria, your Maringa “home away from home.” Hotel Astoria aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year. Close to some of Maringa's most popular landmarks, such as Praca de Convivencia - Calcadao (0.5 mi) and Santuario Diocesano Nossa Senhora de Fatima (1.3 mi), Hotel Astoria is a great destination for tourists. Guest rooms offer amenities such as a minibar and air conditioning, and guests can go online with free wifi offered by the hotel. The property also boasts breakfast, to help make your stay more enjoyable. If you are driving to Hotel Astoria, free parking is available. When you’re feeling hungry, be sure to check out Le Pitaco café e bistrô, which is a deli that is popular with locals and out-of-towners alike. Best of all, Hotel Astoria makes it easy to experience some great Maringa attractions like Kimura Memorial, which is a popular history museum. Hotel Astoria puts the best of Maringa at your fingertips, making your stay both relaxing and enjoyable.	Very good	3.5	87 reviews	Paid private parking on-site Free High Speed Internet (WiFi) Free breakfast Children Activities (Kid / Family Friendly) Shuttle bus service Baggage storage Non-smoking hotel Laundry service Wifi Breakfast available Breakfast buffet	Air conditioning Minibar	Non-smoking rooms Suites Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Budget Family
33	Tammirannantie 1, Vuorela 70910 Finland	We stayed here one night during our summer vacation road-trip. Location is great by a beautiful lake. Swimming pools are nice and warm, suitable for kids too. Otherwise the place needs an overall uplift with a modern touch. Rooms, restaurant and other facilities are just ok if you’re satisfied with average quality. If you’re looking for good food, we would recommend driving somewhere else for a better restaurant experience. Or we just experienced a bad chef’s day. Luckily Kuopio is nearby with lots of restaurants and cafes.	Average	3.0	1 review				HOTEL STYLE Budget Business
34	91-99 Federation Ave, Corowa, New South Wales 2646 Australia	Greenacres AAA 3.5 star Motelis owner operated and noted for it's relaxed atmosphere and friendly service. Greenacres is tucked away amidst award winning lawns, gardens and majestic gum trees. The perfect place to take a break and indulge yourself in whatever takes your fancy. Golf, wine tasting, tennis or just relaxing by the pool. The motel is just minutes away from Rutherglen's wineries, the mighty Murray River and Corowa's famous 27 hole golf course.Or veg out in your room with it's Large 90 cm Digital LCD TV's so you can watch your favorite free to air channels. All Rooms are ground floor,NON SMOKING with parking out side your door. Greenacres is set well back of the highway keeping traffic noise to a minimum. Walk outside your room and relax at one of the tables on the spacious lawms or have a BBQ in the alfresco area.	Excellent	4.5	40 reviews	Free parking Free High Speed Internet (WiFi) Pool Breakfast in the room Bicycle rental Bowling Kids' outdoor play equipment Pets Allowed ( Dog / Pet Friendly ) Wifi Outdoor pool Wine / champagne Tennis court Fishing BBQ facilities Baggage storage Concierge Newspaper Non-smoking hotel Outdoor furniture Express check-in / check-out Laundry service	Air conditioning Desk Room service Seating area Coffee / tea maker Flatscreen TV Electric blanket Bath / shower Telephone Bottled water Iron Wake-up service / alarm clock Microwave Refrigerator Complimentary toiletries Hair dryer	Non-smoking rooms Suites Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Budget Romantic
35	Hig 87 Taj Nagri Phase1, Agra 282001 India	A contemporary full service boutique property, located only 12 minutes walking distance from The world famous Taj Mahal. With 17 elegantly designed and exquisitely furnished guest rooms, an all day dining, conference rooms &amp; banquet halls for high-end meetings, corporate events and social functions.	Terrible	1.0	1 review	Free parking Free High Speed Internet (WiFi) Free breakfast Bicycle rental Bicycles available Airport transportation Banquet room 24-hour security Paid private parking nearby Parking garage Wifi Restaurant Breakfast available Breakfast in the room Kid-friendly buffet Bicycle tours Walking tours Car hire Taxi service Currency exchange 24-hour check-in 24-hour front desk Express check-in / check-out Private check-in / check-out Laundry service	Allergy-free room Blackout curtains Air conditioning Dining area Coffee / tea maker Cable / satellite TV Extra long beds Bidet Housekeeping Room service Safe Telephone Bottled water Clothes rack Tile / marble floor Flatscreen TV Walk-in shower Bath / shower Complimentary toiletries	Non-smoking rooms Family rooms	HOTEL CLASS 3.0 of 5 stars HOTEL STYLE Luxury Mid-range
36	Am Schaettlisberg 42, 88662 Überlingen, Baden-Württemberg Germany								
