Red Caboose Motel	Railway hotels in the United States;Motels in the United States;1970 establishments in Pennsylvania;Hotels established in 1970;Hotels in Pennsylvania;Bed and breakfasts in Pennsylvania;Tourist attractions in Lancaster County, Pennsylvania	Red Caboose Motel (originally named the Red Caboose Lodge) is a 48-room train motel in the Pennsylvania Amish Country Amish country near Ronks, Pennsylvania Ronks, in Lancaster County, Pennsylvania, where guests stay in railroad cabooses.{{r treese}} The motel consists of over three dozen cabooses and other railroad cars, such as dining cars that serve as a restaurant. It was developed and opened in 1970 by Donald M. Denlinger, who started with 19 surplus cabooses purchased at auction from the Penn Central Railroad.{{r Wood}}{{r lon2}} The expanded and renovated property has also hosted railroad-themed events and concerts and dances in its barn.																	
Marcus Whitman Hotel	Buildings and structures in Walla Walla County, Washington;Hotel buildings completed in 1928;Hotels in Washington (state)	Marcus Whitman Hotel and Conference Center is a hotel and historic building located in downtown Walla Walla, Washington. The hotel, colloquially referred to as "The Marc" after the fine-dining restaurant located on the first floor, is the tallest building in the Walla Walla Valley. The building was named for Marcus Whitman and has hosted several U.S. presidents, celebrities, and other notable people.  The hotel building was listed on the National Register of Historic Places in 1999.																	
Diplomat Resort & Spa Hollywood	Hotels in Florida;Hilton Hotels & Resorts hotels;Hollywood, Florida;Hotel buildings completed in 2002	Diplomat Beach Resort Hollywood, Curio Collection by Hilton, is a beachfront resort located in Hollywood, Florida (just south of Fort Lauderdale), between the Atlantic Ocean and the Intracoastal Waterway Intercoastal Waterway. The hotel has two 36-stories towers with 1,000 rooms, two pools, six restaurants and lounges, beachfront location and a convention center. The Diplomat is currently owned by Thayer Lodging Group and is operated under Hilton Worldwide.																	
The Holland Hotel	Buildings and structures in Brewster County, Texas;Hotel buildings completed in 1912;Hotels in Texas;Landmarks in Texas	Holland Hotel is a hotel in Alpine, Texas that has been operating since  1912. The hotel was built by Mr. John R. Holland, a prominent cattleman at the time. According to Mr. Holland, Alpine needed a place where the travelers of the booming mining industry could stay the night. The hotel was finished during the mercury-mining boom, therefore becoming very successful in the community as both a business and a social and civic center.  After Mr. Holland’s death, his son Clay took over the hotel. In 1928, Clay Holland commissioned  the architects Trost and Trost and built a new building a few store fronts away from the original Holland Hotel. It was built, in the Spanish Colonial Revival style for $250,000. Along with many of the Trost creations, The Holland Hotel was seen as a fairyland adorned with beautiful Spanish decorations and was eventually recognized as a Historic Landmark Texas Historic Landmark in 1980.																	
Columbia Springs	Marion County, Mississippi;Hotels in Mississippi	Columbia Springs, also known as "Stovall's Springs," was an early hotel and health spa located on Pearl River (Mississippi–Louisiana) Pearl River near Columbia, Mississippi. Built by proprietor Charles Stovall early in the 19th century, it was the most famous health retreat in South Mississippi during the period, mostly catering to the aristocracy of the region. Planters, politicians, merchants and attorneys alike were drawn from as far away as New Orleans, Louisiana, and Natchez, Mississippi, likely paving the way for the hotel's temporary status as Mississippi state capital in 1821. Unfortunately, a gentleman's disagreement occurring at the hotel ultimately led to two separate dueling incidents, which likely contributed to the decline of the establishment.																	
Mission Point Resort	Hotels in Michigan;Mackinac Island;Buildings and structures in Mackinac County, Michigan	Mission Point Resort is a summer resort hotel located on Mackinac Island, an island in the Straits of Mackinac between the US state of Michigan's Upper Peninsula of Michigan Upper and Lower Peninsula of Michigan Lower peninsulas.  It is located on the southeastern shoreline of the island, also called Mission Point (Mackinac Island) Mission Point.																	
Station Casino Reno	Casinos in Reno, Nevada;Hotels in Reno, Nevada	Station Casino Reno is a proposed hotel and casino located at the intersection of Nevada State Route 667 Kietzke Lane and Nevada State Route 430 South Virginia Street next to the Reno-Sparks Convention Center in Reno, Nevada Reno, Nevada. The land is owned by Station Casinos and is located on {{convert 8 acre abbr=on}} of land.																	
Visalia Convention Center	Convention centers in California	Visalia Convention Center is a performing arts center and convention center in Visalia, California. The center was founded in 1972. The center is situated at the heart of Central California and is considered one of the premier mid-state conventions in California's Central Valley (California) Central Valley. The Visalia Convention Center was designed and built to accommodate nearly any event requirements. The center has 114,000 square feet of meeting space and can hold up to 3,000 people. The center is located in Downtown Visalia, at the corner of E. Acequia & Bridge. The center sits in walking distance of 45 locally owned restaurants, shops and the convention Center also has its own resort at the convention center called the Marriott Hotels & Resorts Visalia Marriott Hotel & Resort.																	
Stuart Hotel (Stuart, Oklahoma)	National Register of Historic Places in Hughes County, Oklahoma;Commercial buildings completed in 1903;Hughes County, Oklahoma;Hotels in Oklahoma	Stuart Hotel in Stuart, Oklahoma is a hotel built in 1903.  It was listed on the National Register of Historic Places in 1982.																	
Hardman Hotel	Hotels in Oregon	Hardman Hotel is a historic hotel that operated in Hardman, Oregon, during the town’s peak.																	
1880 Union Hotel	Buildings and structures in Santa Barbara County, California;Hotels in California;1880 establishments in California	1880 Union Hotel, located in Los Alamos, California, is a hotel and saloon and an historic landmark.																	
Kant Hotel	Commercial buildings on the National Register of Historic Places in South Dakota;Commercial buildings completed in 1912;Hamlin County, South Dakota;Hotels in South Dakota	Kant Hotel in Bryant, South Dakota, which has also been known as the Bryant Hotel, was built in 1912.  It was listed on the National Register of Historic Places in 1985.																	
St. Vincent's Hotel	Commercial buildings completed in 1897;National Register of Historic Places in Moody County, South Dakota;Hotels in South Dakota	St. Vincent's Hotel, at 100 North Wind in Flandreau, South Dakota, was built in 1897.  It was listed on the National Register of Historic Places in 1983.																	
John P. Rains Hotel	National Register of Historic Places in Tennessee;Hotel buildings completed in 1898;Buildings and structures in Decatur County, Tennessee;Hotels in Tennessee	John P. Rains Hotel, located at 106-108 Tennessee Ave., S. in Parsons, Tennessee Parsons in Decatur County, Tennessee, was built in 1898.  It has also been known as the Colwick Hotel.  It was listed on the National Register of Historic Places in 1978.																	
The Arras	Buildings and structures in Asheville, North Carolina;1965 establishments in North Carolina;Hotels in North Carolina;Condo hotels in the United States	The Arras is the tallest building in Asheville, North Carolina Asheville, North Carolina with 19 stories and 201,000 square feet. It was built in 1965 as the Northwestern Bank Building and was later called the Truist Financial BB&T Building. In 2019, it reopened as the Art Deco style Kimpton Hotels & Restaurants Kimpton Hotel Arras on floors 1 to 9, and Arras Private Residences condominium complex on floors 10-19 after a major renovation. The building is 228 feet tall.																	
Bartell House	Houses on the National Register of Historic Places in Kansas;Italianate architecture in Kansas;Houses completed in 1879;National Register of Historic Places in Geary County, Kansas;Hotels in Kansas	Bartell House in Junction City, Kansas, is a hotel built in 1879. It is located at 6th and Washington Streets. It was listed on the National Register of Historic Places in 1980. It has also been known as Lamer Hotel.																	
TWA Hotel	2019 establishments in New York City;Hotels established in 2019;2010s in Queens;Hotels in Queens, New York;John F. Kennedy International Airport	TWA Hotel is a hotel at John F. Kennedy International Airport in Queens, New York City, that opened on May 15, 2019. It uses the head house of the TWA Flight Center, designed by the architect Eero Saarinen and completed in 1962, and two flanking buildings added for the hotel project. It contains a total of 512 rooms, as well as conference space, several restaurants, and an aviation history museum.																	
The Otesaga Hotel	Buildings and structures in Otsego County, New York;Historic district contributing properties in New York (state);National Register of Historic Places in Otsego County, New York;Hotels in New York (state)	The Otesaga Hotel or Otesage Resort Hotel is a historic hotel located in the Village of Cooperstown, New York on Lake Street New York State Route 80 (NY-80). It was built in 1909 in the Federal architecture Federal style. The hotel is a contributing building to the Cooperstown Historic District on the Southern shore of Otsego Lake (New York) Lake Otsego in Cooperstown, New York.																	
Talkeetna Roadhouse	Buildings and structures in Matanuska-Susitna Borough, Alaska;Hotels in Alaska	Talkeetna Roadhouse is a historically significant Alaskan frontier Roadhouse (premises) roadhouse dating from the early 20th century. It is situated in the town of Talkeetna, Alaska Talkeetna, Alaska in the northern United States. File:Talkeetna Roadhouse interior photograph.jpg thumb alt=An interior photo of the historic Talkeetna Roadhouse's fireside parlor piano. An interior photo of the historic Talkeetna, Alaska Talkeetna Roadhouse's fireside parlor piano.																	
Prairie Band Casino & Resort	Native American casinos;Buildings and structures in Jackson County, Kansas;Casinos in Kansas;Hotels in Kansas;Casinos completed in 1998;Casino hotels;Hotel buildings completed in 1998;Tourist attractions in Jackson County, Kansas;Native American history of Kansas	Prairie Band Casino & Resort is a Native American casino in Mayetta, Kansas, owned by the Prairie Band Potawatomi Nation. It was originally operated by Harrah's Entertainment under a management agreement with the tribe until July 1, 2007, when the tribe took over operations. The casino is open 24 hours daily and has a {{convert 35000 sqft m2 adj=on}} casino, with 1,090 slot machines, a bingo hall and 31 table games. The casino also has three restaurants and 297 guestrooms.																	
Southernmost House	History of Key West, Florida;Houses in Key West, Florida;Landmarks in Key West, Florida;Tourist attractions in Key West, Florida	The Southernmost House is a historic mansion in the U.S. city of Key West, Florida Key West, in Monroe County, Florida Monroe County, Florida. Five U.S. Presidents have stayed there. The house is located in the Upper Duval district and has been converted into a bed and breakfast.																	
Lithia Springs Hotel	Hotels in Georgia (U.S. state);Hotels established in 1881	Lithia Springs Hotel  was a grand hotel in Tallapoosa, Georgia built by Ralph L. Spencer between 1881 and 1882. It was the largest hotel in the Southeast in the late 19th century to early 20th century. It had 175 rooms, a banquet hall, an elevator, a billiard hall, poolrooms,{{clarify date=October 2011 reason=Meaning what? Billiard halls again, swimming pool rooms, rooms for betting?}} and a large ballroom. People from all over the country traveled to the Lithia Springs Hotel for health reasons, business, or leisure travel. Many from New York traveled by train for 32 hours. The cost of a roundtrip ticket to Tallapoosa was $38.65. Unfortunately, the economy caused the grand hotel to shut its doors. Several years later the hotel, which was now in ruins, became a fire hazard and had to be dismantled.																	
Harrah's North Kansas City	1994 establishments in Missouri;Commercial buildings completed in 1994;Buildings and structures in Clay County, Missouri;Caesars Entertainment;Casino hotels;Casinos completed in 1994;Casinos in Missouri;Hotel buildings completed in 1994;Hotels established in 1994;Hotels in Missouri;Riverboat casinos;Tourist attractions in Kansas City, Missouri	Harrah's North Kansas City is a hotel and casino in North Kansas City, Missouri North Kansas City, Missouri.  Located just north of Kansas City, Missouri Kansas City on the Missouri River, it has more than 1,800 slot machines, table games, and video games, and six restaurants.																	
Horseshoe Council Bluffs	1986 establishments in Iowa;Buildings and structures in Council Bluffs, Iowa;Caesars Entertainment;Casino hotels;Casinos completed in 1995;Casinos in Iowa;Hotel buildings completed in 1995;Hotels established in 1995;Hotels in Iowa;Defunct greyhound racing venues in the United States	Horseshoe Council Bluffs is a casino and former Greyhound racing in the United States greyhound racing track in Council Bluffs, Iowa, near Omaha, Nebraska. It is owned by Vici Properties and operated by Eldorado Resorts Caesars Entertainment. It has {{Convert 60000 sqft m2 abbr=on}} of gaming space with 1,438 slot machines, 63 table games, a William Hill (bookmaker) William Hill racebook, and a WSOP poker room. Accommodations are offered at an adjoining Hilton Garden Inn, and the nearby Country Inns & Suites, Holiday Inn Express and SpringHill Suites.																	
Breakers Hotel (Long Beach, California)	Buildings and structures in Long Beach, California;Downtown Long Beach;Hotel buildings completed in 1926;Hotels established in 1926;Landmarks in Long Beach, California	The Breakers Hotel is a historic landmark 14-story hotel on East Ocean Avenue in Downtown Long Beach downtown Long Beach, California.  Opened in 1926 as a luxury oceanfront resort hotel, it is set to reopen in late fall 2024 as Fairmont Breakers Long Beach.  The building has gone through multiple changes of ownership and has been renamed at various times the Hilton, the Wilton, and the Breakers International Hotel.  It has had a history of financial problems and closures and also operated for many years as a retirement home.  The building has been designated as a  List of City of Long Beach historic landmarks Long Beach Historic Landmark.																	
Yardley Inn	Hotels in Pennsylvania;Restaurants in Pennsylvania;Restaurants established in 1832	Yardley Inn Restaurant, Bar & Farm is a Zagat-rated restaurant in Bucks County, Pennsylvania, specializing in contemporary American cuisine. The Yardley Inn’s kitchen offers a diverse menu of seafood and shellfish, beef, chicken, pork, and pasta. Banquet rooms and individual dining rooms are available for private parties and special events.																	
Alert-Hatcher Building	Hotels in New Mexico;National Register of Historic Places in Sierra County, New Mexico;Buildings and structures completed in 1884	Alert-Hatcher Building, in Hillsboro, New Mexico, was built in 1884.  It was listed on the National Register of Historic Places in 1995.																	
Ameristar Casino Council Bluffs	1996 establishments in Iowa;Ameristar casinos;Casinos completed in 1996;Buildings and structures in Council Bluffs, Iowa;Casino hotels;Hotels in Iowa;Riverboat casinos	Ameristar Casino Hotel Council Bluffs is a riverboat casino in Council Bluffs, Iowa Council Bluffs, Iowa, on the Missouri River directly across from Omaha, Nebraska Omaha, Nebraska. It is owned by Gaming and Leisure Properties and operated by Penn Entertainment.																	
Santa Clara Hotel	Hotels in New Mexico;National Register of Historic Places in Mora County, New Mexico;Victorian architecture in New Mexico;Hotel buildings completed in 1900;1900 establishments in New Mexico Territory	Santa Clara Hotel, at 111 Railroad Ave. in Wagon Mound, New Mexico, was built around 1900 and 1910.  It was listed on the National Register of Historic Places in 1991.  The listing included two contributing buildings.																	
Hotel Vendome (Prescott, Arizona)	National Register of Historic Places in Prescott, Arizona	Hotel Vendome is a historic hotel located in Prescott, Arizona. Built in 1917, it was added to the list of National Register of Historic Places in 1983.																	
KEX Hotel	Hotels in Portland, Oregon;Buildings and structures in Kerns, Portland, Oregon;Buildings and structures in Northeast Portland, Oregon	KEX Hotel is a hotel at the intersection of Northeast Martin Luther King Jr. Boulevard and Couch Street in Portland, Oregon, United States. Kex is based in Reykjavík, and the Portland location is the brand's first hotel outside Iceland. The hotel is unconnected in any way to Portland radio station KEX (AM) KEX (1190).																	
Howard Hotel (Utah)	Hotels in Utah;National Register of Historic Places in Box Elder County, Utah;Neoclassical architecture in Utah;Buildings and structures completed in 1903;1903 establishments in Utah	Howard Hotel is a historic hotel in Brigham City, Utah, United States, that is listed on the National Register of Historic Places (NRHP).																	
Yellowstone National Park Canyon Village Lodge	Buildings and structures in Yellowstone National Park in Wyoming;2015 establishments in Wyoming;Hotels in Wyoming	Canyon Village Lodge at Yellowstone National Park is the largest single lodging property in Yellowstone National Park. Its renovation, first envisioned in 1988 as part of the Canyon Redevelopment Plan, is part of a larger undertaking to improve the dining and lodging prospectus park-wide.																	
James Robertson Hotel	Hotel buildings on the National Register of Historic Places in Tennessee;Art Deco architecture in Tennessee;Hotel buildings completed in 1929;Hotels in Nashville, Tennessee;National Register of Historic Places in Nashville, Tennessee	James Robertson Hotel is a historic hotel and apartment building in Nashville, Tennessee.  It is located on North 7th Avenue at Commerce Street in Downtown Nashville.																	
Noelle Nashville Hotel	Hotel buildings on the National Register of Historic Places in Tennessee;Neoclassical architecture in Tennessee;Hotel buildings completed in 1929;Hotels in Nashville, Tennessee;National Register of Historic Places in Nashville, Tennessee	Noelle Nashville Hotel is a historic Art Deco hotel in Nashville, Tennessee, USA. originally opened in 1929 as the Noel Hotel.																	
Coronado Hotel	National Register of Historic Places in Pima County, Arizona;Buildings and structures completed in 1928	Coronado Hotel, at 410 E. 9th St. in Tucson, Arizona, was built in 1928.  It was listed on the National Register of Historic Places in 1982.																	
Corey House/Hotel	Hotels in Oklahoma;National Register of Historic Places in Delaware County, Oklahoma;Buildings and structures completed in 1899	Corey House/Hotel, on N. Main at 2nd St. in Grove, Oklahoma, was built in 1899–1909. It was listed on the National Register of Historic Places in 1982.																	
City Hotel (Savannah, Georgia)	Defunct hotels in Georgia (U.S. state)																		
American Inn	Lewis and Clark Centennial Exposition;Hotels in Portland, Oregon;1905 establishments in Oregon;Hotel buildings completed in 1905	American Inn was the sole hotel on the grounds of the Lewis and Clark Centennial Exposition held in Portland, Oregon, in 1905. As advertised in a local newspaper, the Inn was "beautifully located on the main esplanade on the shore of Guild's Lake" and provided guests with easy access to the Exposition's many wonders. It was also touted in the paper as "A Woman's Enterprise," "a monument to the business ability of women, as it was planned and is now managed by Mrs. J. T. McCready."																	
River Street Inn	Hotels in Savannah, Georgia																		
17 Hundred 90 Inn	Restaurants in Savannah, Georgia;Taverns in Georgia (U.S. state);Hotels in Savannah, Georgia;Houses completed in 1790;Reportedly haunted locations in Georgia (U.S. state);Columbia Square (Savannah) buildings	17 Hundred 90 Inn & Restaurant (also stylized as 17Hundred90 Inn & Restaurant) is a historic inn, restaurant and tavern in Savannah, Georgia, United States. Located on East President Street, just west of Columbia Square (Savannah, Georgia) Columbia Square, it is Savannah's oldest inn, occupying a building dating to 1790, thus pre-dating the foundation of the square. The entrance to its tavern is at the corner of Lincoln Street and East York Street (Savannah, Georgia) York Street.																	
Hotel Zags Portland	Hotels in Portland, Oregon;Buildings and structures in Southwest Portland, Oregon	Hotel Zags Portland is a hotel in Portland, Oregon. The hotel previously operated as Portland Motor Hotel and Hotel Modera.																	
Green Palm Inn																			
Sumpter House		Sumpter House was a centrally located hotel in Hot Springs, Arkansas during the mid 19th and early 20th century. It was located about 200 feet from Central Avenue at the corner of Court and Exchange streets. It was once one of the largest hotels in Hot Springs, Arkansas. For some time, the hotel was owned and operated by John J. Sumpter.																	
Fairplay Hotel	Hotels in Colorado;Buildings and structures completed in 1922;National Register of Historic Places in Park County, Colorado	Fairplay Hotel, a hotel at 500 Main St. in Fairplay, Colorado, was built in 1922.  It was listed on the National Register of Historic Places in 2008.																	
Chittenden Hotel	Demolished buildings and structures in Columbus, Ohio;Defunct hotels in Ohio;1899 establishments in Ohio;1972 disestablishments in Ohio;Hotels established in 1899;Hotels disestablished in 1972;Buildings and structures destroyed in 1973;Hotels in Columbus, Ohio;Yost and Packard buildings	Chittenden Hotel was a hotel building in Downtown Columbus, Ohio. The hotel, located at Spring and High Street (Columbus, Ohio) High streets, was in three succeeding buildings. The first was built in 1889; the second in 1892; and the third in 1895.																	
The Brice	Kimpton hotels;Hotels in Savannah, Georgia;Washington Square (Savannah) buildings;Commercial buildings completed in 1860;1860 establishments in Georgia (U.S. state);Greek Revival architecture in Georgia (U.S. state);Hotel buildings completed in 1860;Hotels established in 1982;Savannah Historic District;Coca-Cola buildings and structures	The Brice is a historic building at 601 Bay Street (Savannah, Georgia) East Bay Street in Savannah, Georgia, United States. The building, which is in the Savannah Historic District (Savannah, Georgia) Savannah Historic District (itself on the National Register of Historic Places), dates to 1860. At {{cvt 91,000 sqft}}, it takes up an entire city block (the Squares of Savannah, Georgia northeastern residential tything block) of Washington Square (Savannah, Georgia) Washington Square, in what was Savannah's Old Fort neighborhood.																	
Staybridge Suites (Savannah)																			
Radisson Hotel Salt Lake City Downtown	1985 establishments in Utah;Buildings and structures completed in 1985;Buildings and structures in Salt Lake City;Hotels in Utah	Radisson Hotel Salt Lake City Downtown is a hotel in Salt Lake City, Utah, United States.																	
Hotels in Meridian, Mississippi	Buildings and structures in Meridian, Mississippi	hotels in Meridian, Mississippi, provide insights into the city's growth and expansion, both in the late 19th and early 20th centuries and into the modern age. Many hotels were built in downtown Meridian in the early 1900s to provide lodging for passengers of the railroad, which was essential to the city's growth at the turn of the 20th century. Two of these historic hotels–the Union Hotel, built in 1910, and the Lamar Hotel, built in 1927–have been listed on the National Register of Historic Places.																	
Charles A. Grignon House	Department stores on the National Register of Historic Places;Hotels in Wisconsin;Houses completed in 1837;Houses on the National Register of Historic Places in Wisconsin;Commercial buildings on the National Register of Historic Places in Wisconsin;Museums in Outagamie County, Wisconsin;Houses in Outagamie County, Wisconsin;National Register of Historic Places in Outagamie County, Wisconsin	Charles A. Grignon Mansion is located in Kaukauna, Wisconsin, United States. It was added to the National Register of Historic Places in 1972.																	
Gettysburg Springs Hotel	Hotel buildings completed in 1869;Burned hotels in the United States;Demolished hotels in the United States;Defunct companies based in Pennsylvania;1913 disestablishments in Pennsylvania;1917 fires in the United States;Hotels established in 1867;Hotels in Pennsylvania;1867 establishments in Pennsylvania	Gettysburg Springs Hotel was a popular tourist site located on the Gettysburg Battlefield, near the area where the Battle of Gettysburg, First Day first day of combat took place during the American Civil War. The hotel was situated on the east side of Herr Ridge, at the western terminus of the Gettysburg Spring Railroad, and close to the Katalysine Springs.																	
Flanagan Hotel (Malone, New York)	Buildings and structures in Franklin County, New York;Hotel buildings completed in 1917	The Flanagan Hotel in Malone, New York was built in 1917, and is the second hotel of this name to be located on the corner of East Main street and Elm Street in the Village of Malone. The Flanagan  family owned a much smaller hotel at this location which was founded in 1857. The older hotel was a meeting place during the historical Fenian Raids. The current building is still the largest building in the historic downtown of Malone, New York Malone. In the Flanagan's heyday it was said by locals and travelers alike that it was the largest hotel north of Albany, New York. The hotel suffered a fire in 1997 supposedly started by someone falling asleep while smoking on their bed in their hotel room. The building from the fire, in 1997, to 2007 was undisturbed. The Flanagan is thought to be an eyesore by many while others see it as a link to Malone's prominent and historical past started the aggressive campaigns of William A. Wheeler to bring the New York Central and Rutland Railroads to town. It is currently partially renovated sitting at a standstill after Frank Cositore, the old owner got foreclosed on in 2009. After sitting for numerous years, he is trying to negotiate to buy back the 120+ year old hotel.																	
